tax_id	abundance	
919700925	0.027589446252092593	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Listeriaceae;g__Listeria_A;s__Listeria_A monocytogenes_B_319801
1008998464	0.01813124056020603	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Listeriaceae;g__Listeria_A;s__Listeria_A marthii
594691402	0.10485160113880687	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Listeriaceae;g__Listeria_A;s__Listeria_A monocytogenes_B_319916
1453904119	0.09636631767478998	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_H_360604;s__Enterococcus_H_360604 faecalis
1700534098	0.146347628185573	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Bacillales_B_306089;f__Bacillaceae_H_294103;g__Bacillus_P_294101;s__Bacillus_P_294101 spizizenii
53954447	0.0033191144907386764	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Bacillales_B_306089;f__Bacillaceae_H_294103;g__Bacillus_P_294101;s__Bacillus_P_294101 subtilis
561101225	0.0004909710317421196	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Shigella flexneri
1446833230	0.01001731891904311	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Shigella sonnei
1083756244	0.01346754538633939	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Escherichia ruysiae
2087647928	0.00641683374718855	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Escherichia albertii
1980547424	0.007345743005419159	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Shigella boydii
1155214706	0.0010037412156260162	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Escherichia fergusonii
25587710	0.13571362034695666	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum
697922065	0.08437403394449669	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775;s__Bifidobacterium vaginale
671167758	0.006575777096920564	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Bacillales_B_306089;f__Bacillaceae_H_294103;g__Bacillus_P_294101;s__Bacillus_P_294101 halotolerans
1723148556	0.06539236291236433	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775;s__Bifidobacterium adolescentis
1005789060	0.0014159375913064967	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus simiae
172468710	0.14445234669699603	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus argenteus
1135931242	0.024933670694851987	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales_A_650611;f__Pseudomonadaceae;g__Pseudomonas_B_650326;s__Pseudomonas_B_650326 paraeruginosa
1524293496	0.026863912517988458	k__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borreliella;s__Borrelia bissettiae
249674484	0.0008028843470766316	k__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borreliella;s__Borreliella garinii
4821424	0.04821424127004573	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Salmonella;s__Salmonella bongori
2044984071	0.0014662788851640813	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Bacillales_B_306089;f__Bacillaceae_H_294103;g__Bacillus_P_294101;s__Bacillus_P_294101 velezensis
503474378	0.001530618604006186	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium
1102215101	0.00022467014502069207	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Listeriaceae;g__Listeria_A;s__Listeria_A seeligeri
1969112428	0.001340193412911767	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia;s__Shigella dysenteriae
382293794	0.018930028668072262	k__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales_778489;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
1534274278	0.0005832411536692661	k__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus
1965385813	0.00033670412265497993	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales_A_650611;f__Pseudomonadaceae;g__Pseudomonas_F_650324;s__Pseudomonas_F_650324 furukawaii
421731111	0.0002123560908277337	k__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A parvula
477813944	0.00030353394801921655	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Klebsiella_724518;s__Klebsiella oxytoca
464221415	0.00019718779862575272	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella corporis
229406851	0.0003183482753841169	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Klebsiella_724518;s__Klebsiella granulomatis
